twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
12400046,12022640,2200,20140596,QB,failed,0,0,0
12400047,12022929,2200,20120001,QB,good,0,1,0
12400048,12023972,2200,20120001,QB,failed,0,0,0
12400049,12024452,2250,20080057,QB,good,0,1,0
12400050,12024995,2250,20140003,QB,good,0,1,0
12400051,12027024,2310,20050001,QB,good,0,1,1
12400052,12027025,2310,20050001,QB,failed,0,0,0
12400053,12027681,2100,20150002,QB,failed,0,0,0
12400054,12029460,3800,20030001,QB,good,0,1,0
12400055,12029749,2700,20120008,QB,good,0,1,0
12400056,12029803,610,20110180,QB,good,0,1,0
12400057,12029938,1050,20160093,QB,good,0,1,0
12400058,12030136,3200,20000199,QB,good,0,1,0
12400059,12030333,3900,20040011,QB,good,0,1,0
12400060,12031391,3000,20100001,QB,failed,0,0,0
12400061,12032475,3000,20020439,QB,good,0,1,0
12400062,12032907,810,20060011,QB,good,0,1,0
12400063,12032953,3200,20140062,QB,good,0,1,0
12400064,12033040,810,20140498,QB,good,0,1,0
12400065,12034020,3300,20040106,QB,failed,0,0,0
12400066,12034387,3900,20040011,QB,good,0,1,0
12400067,12034546,4600,20120075,QB,failed,0,0,0
12400068,12035072,750,20110001,QB,good,0,1,0
12400069,12035374,1540,20090001,QB,failed,0,0,0
12400070,12035714,2520,20140036,QB,failed,0,0,0
12400071,12035727,2520,20140036,QB,good,0,1,0
12400072,12035748,2520,20140036,QB,good,0,1,0
12400073,12036047,3300,20010032,QB,failed,0,1,0
12400074,12037278,3200,20000199,QB,failed,0,0,0
12400075,12039174,3200,20000199,QB,failed,0,1,0
12400076,12039854,2520,20140036,QB,good,0,1,0
12400077,12039986,750,20110001,QB,failed,0,0,0
12400078,12039999,750,20110001,QB,failed,0,0,0
12400079,12040025,2520,20140036,QB,good,0,1,0
12400080,12040529,2200,20120001,QB,good,0,1,0
12400081,12040810,2520,20140036,QB,good,0,1,0
12400082,12040977,4600,20160788,QB,failed,0,0,0
12400083,12041304,3700,20160002,QB,failed,0,0,1
12400084,12042184,3430,20150103,QB,failed,0,0,0
12400085,12042769,3700,20160002,QB,failed,0,0,0
12400086,12042796,5110,20120102,QB,failed,0,0,0
12400087,12042891,325,20080018,QB,good,0,1,0
12400088,12043358,3900,20040011,QB,failed,0,0,0
12400089,12043381,3900,20040011,QB,failed,0,0,0
12400090,12043489,3900,20040011,QB,failed,0,0,0
12400091,12043501,1200,20160135,QB,failed,0,0,0
12400092,12043508,3900,20040011,QB,failed,0,0,0
12400093,12043515,1200,20160135,QB,failed,0,0,0
12400094,12043642,1540,20160191,QB,good,0,1,0
12400095,12043703,3900,20040011,QB,good,0,1,0
12400096,12043980,2700,20070701,QB,failed,0,0,0
12400097,12044215,3900,20040011,QB,failed,0,0,0
12400098,12046058,4900,20150001,QB,good,0,1,0
12400099,12046394,4600,20120075,QB,good,0,1,0
12400100,12047622,3000,20020439,QB,good,0,1,0
12400101,12047891,3700,20160002,QB,good,0,1,0
12400102,12049892,200,20080003,QB,failed,0,0,0
12400103,12049963,4900,20130073,QB,good,0,1,0
12400104,12050127,750,20110001,QB,failed,0,0,0
12400105,12050785,4900,20150001,QB,failed,0,0,0
12400106,12050809,4900,20150001,QB,failed,0,0,0
12400107,12051127,4900,20150001,QB,good,0,1,0
12400108,12051647,2100,20120875,QB,failed,0,0,0
12400109,12051805,1050,20160093,QB,failed,0,0,0
12400110,12052096,2100,20150002,QB,failed,0,0,0
12400111,12052337,2100,20080404,P,failed,0,0,0
12400112,12052836,2100,20150002,QB,failed,0,0,0
12400113,12054483,5110,20160187,QB,good,0,1,0
13453948,13086191,2100,20150002,QB,failed,0,1,0
13453949,13086210,2100,20150002,QB,failed,1,0,0
13453975,13088518,3700,20120088,QB,failed,0,0,0
13453976,13088624,3700,20120088,QB,failed,0,0,0
13453001,13000024,3800,20110010,QB,failed,0,0,1
13453003,13001351,1050,20170052,QB,failed,0,1,0
13453004,13001411,3700,20160002,QB,failed,0,0,0
13453005,13001866,4500,20170104,QB,good,0,1,0
13453006,13002346,2700,20140183,QB,failed,0,0,0
13453048,13004495,3800,20110010,QB,failed,0,0,0
13453049,13004956,2200,20140596,QB,failed,0,0,0
13453050,13005729,325,20160690,QB,good,0,1,0
13453093,13008559,200,20120635,QB,good,0,1,0
13453094,13009366,750,20140214,QB,good,0,1,0
13453095,13009378,2250,20140003,QB,failed,0,0,0
13453096,13010016,3430,20150103,QB,good,0,1,0
13453183,13016685,3430,20020081,QB,failed,0,0,0
13453184,13017626,1540,20090001,QB,failed,0,0,0
13453185,13017646,1540,20090001,QB,failed,0,0,0
13453186,13017676,3800,20030001,QB,failed,0,0,0
13453187,13018976,3700,20160002,QB,good,0,1,0
13453228,13020781,1800,20050024,QB,failed,0,0,0
13453229,13021801,2250,20140003,QB,failed,0,0,0
13453273,13026547,3200,20000199,QB,good,0,1,0
13453274,13027060,4500,20090501,QB,failed,0,0,0
13453275,13027212,4600,20120075,QB,failed,0,0,0
13453318,13029259,3900,20040011,QB,failed,0,0,0
13453319,13029660,1200,20160135,QB,failed,0,0,1
13453320,13029661,1200,20160135,QB,failed,0,0,0
13453321,13030726,1540,20090001,QB,good,0,1,0
13453322,13031196,2200,20160091,QB,failed,0,0,0
13453323,13031232,4600,20120075,QB,good,0,1,0
13453324,13031448,4900,20150001,QB,failed,0,0,0
13453325,13031461,3410,20040001,QB,failed,0,0,0
13453363,13033495,1800,20050024,QB,failed,0,0,0
13453364,13033800,2120,20170012,QB,failed,0,0,0
13453365,13033826,2310,20050001,QB,failed,0,0,0
13453366,13033849,2120,20170012,QB,failed,0,0,0
13453367,13034520,3410,20040001,QB,failed,0,0,0
13453408,13037080,4900,20050250,QB,failed,0,0,0
13453409,13037116,4900,20050250,QB,failed,0,0,0
13453410,13037446,325,20080018,QB,good,0,1,0
13453411,13037889,2120,20170012,QB,good,0,1,0
13453453,13043359,1200,20160135,QB,failed,0,0,0
13453498,13045254,325,20110074,QB,failed,0,0,0
13453499,13046124,1400,20150250,QB,failed,0,0,0
13453500,13046269,4400,20040004,QB,failed,0,0,0
13453501,13046443,810,20170002,QB,failed,0,0,0
13453502,13046698,3700,20160002,QB,good,0,1,0
13453543,13050946,4600,20120075,QB,failed,0,0,0
13453544,13050973,4600,20120075,QB,failed,0,0,0
13453588,13054540,3900,20040011,QB,good,0,1,0
13453589,13054682,2250,20140003,QB,good,0,1,0
13453633,13057790,3700,20160002,QB,good,0,1,0
13453634,13057809,3700,20160002,QB,failed,0,1,0
13453635,13057814,3700,20160002,QB,good,0,1,0
13453636,13059296,2520,20140036,QB,good,0,1,0
13453637,13059657,4600,20120075,QB,good,0,1,0
13453678,13061584,3800,20110010,QB,good,0,1,0
13453679,13062219,1200,20160135,QB,failed,0,0,0
13453680,13063190,750,20110001,QB,failed,0,1,0
13453681,13063217,750,20110001,QB,failed,0,0,0
13453682,13063620,3900,20040011,QB,good,0,1,0
13453723,13066834,2250,20120207,P,failed,0,0,0
13453724,13066855,2250,20140003,QB,good,0,1,0
13453725,13067199,1400,20150250,QB,failed,0,0,0
13453726,13067570,3430,20020081,QB,failed,0,1,1
13453768,13070030,2200,20160091,QB,good,0,1,1
13453769,13070208,3000,20120511,QB,good,0,1,0
13453770,13071178,2520,20140036,QB,good,0,1,0
13453771,13072029,3900,20040011,QB,failed,0,0,1
13453813,13074457,1400,20120057,QB,good,0,1,0
13453814,13075146,3430,20150103,QB,failed,0,0,0
13453815,13075292,3410,20040001,QB,failed,1,0,0
13453816,13075648,3200,20000199,QB,good,0,1,0
13453858,13079008,2120,20110152,QB,failed,0,0,0
13453859,13080035,2250,20140003,QB,good,0,1,0
13453860,13080390,1400,20120057,QB,good,0,1,0
13453903,13082486,1800,20150147,QB,good,0,1,0
13453904,13082496,1540,20100060,WR,good,0,1,0
13453905,13083115,2700,20140183,QB,failed,0,0,0
13453906,13083495,3410,20040001,QB,failed,0,0,0
13453907,13084297,4900,20150001,QB,good,0,1,0
14453948,14086026,4400,20040004,QB,good,0,1,0
14453949,14086204,810,20170002,QB,failed,0,1,0
14453959,14087215,1200,20160135,QB,good,0,1,0
14453960,14087421,4400,20040004,QB,good,0,1,0
14453961,14087452,4400,20040004,QB,failed,0,0,0
14453001,14000160,810,20130659,QB,failed,0,0,0
14453003,14000756,610,20180007,QB,failed,1,0,0
14453004,14001090,3000,20170534,QB,good,0,1,0
14453005,14001764,2700,20150103,QB,good,0,1,0
14453006,14001905,3200,20090501,QB,good,0,1,0
14453007,14001996,1050,20180001,QB,failed,0,0,0
14453008,14002893,4500,20170790,QB,failed,0,0,1
14453009,14002910,4500,20170790,QB,failed,0,0,1
14453010,14002911,4500,20170790,QB,good,0,1,0
14453048,14004453,2310,20130839,QB,good,0,1,0
14453049,14004489,750,20110001,QB,failed,1,0,0
14453050,14004916,920,20160207,QB,good,0,1,0
14453051,14005023,1400,20120511,QB,good,0,1,0
14453052,14005447,3900,20170135,QB,failed,0,0,0
14453053,14005470,3900,20170135,QB,failed,0,0,0
14453054,14005970,4600,20180220,QB,good,0,1,0
14453055,14006094,2520,20160100,QB,failed,0,1,0
14453056,14006659,3300,20180617,QB,failed,0,0,0
14453093,14008679,750,20150870,QB,failed,0,1,0
14453094,14009360,4500,20170790,QB,failed,0,0,1
14453095,14009562,3300,20010032,QB,good,0,1,0
14453096,14009801,2120,20100199,QB,failed,1,0,0
14453097,14010019,3000,20120102,QB,failed,0,0,0
14453098,14010152,3000,20170534,QB,good,0,1,0
14453099,14010612,2100,20110010,QB,failed,0,0,0
14453100,14010798,1540,20160191,QB,failed,0,0,0
14453138,14012591,1400,20160026,QB,failed,1,0,1
14453139,14012958,5110,20160162,QB,failed,0,0,0
14453140,14013090,610,20140164,QB,failed,0,0,0
