twoPtRecId,playId,teamId,playerId,twoPointRecPosition,twoPtRecResult,twoPtRecComp,twoPtRecNull
5410016,5018167,1540,20030017,WR,failed,0.0,0
5410017,5018692,1800,20060052,WR,good,1.0,0
5410018,5019469,1800,20050412,RB,failed,0.0,0
5410019,5022552,3300,20050685,WR,good,0.0,0
5410020,5022689,3430,20080030,TE,good,1.0,0
5410021,5022717,3430,20050003,WR,good,1.0,0
5410022,5023066,3700,20090524,TE,good,1.0,0
5410023,5023368,2200,20080205,WR,failed,0.0,0
5410024,5023827,610,20020061,DE,failed,0.0,0
5410025,5024041,2120,20030093,RB,failed,0.0,0
5410026,5024370,2310,20080073,RB,good,1.0,0
5410027,5024878,2250,20090253,WR,failed,0.0,0
5410028,5025004,2100,20010035,TE,failed,0.0,0
5410029,5025107,2250,20090144,WR,good,1.0,0
5410030,5027831,2700,20060053,TE,failed,0.0,0
5410031,5028067,3300,20060252,WR,failed,0.0,0
5410032,5029712,1800,20050412,RB,failed,0.0,0
5410033,5030182,4600,20080038,TE,failed,0.0,0
5410034,5031010,3200,20040032,TE,failed,0.0,0
5410035,5031015,3200,19980021,WR,failed,0.0,0
5410036,5031598,3200,19980021,WR,good,1.0,0
5410037,5034600,750,20090519,TE,good,1.0,0
5410038,5035085,3410,20060082,WR,failed,0.0,0
5410039,5035394,3700,20060109,WR,good,1.0,0
5410040,5036498,3430,20050003,WR,failed,0.0,0
5410041,5036638,3430,20050003,WR,failed,0.0,0
5410042,5036654,2700,20050745,WR,failed,0.0,0
5410043,5036662,3430,20060750,WR,good,1.0,1
5410044,5036663,3430,20080030,TE,failed,0.0,0
5410045,5039755,3700,20080571,WR,failed,0.0,0
5410046,5040610,3700,20090053,RB,good,1.0,0
5410047,5041575,1800,20070063,RB,good,1.0,0
5410048,5044313,810,20080070,WR,good,1.0,0
5410049,5044616,4600,20070232,OC,failed,0.0,0
5410050,5046245,4500,20090184,TE,good,1.0,0
5410051,5046262,1400,20090141,WR,failed,0.0,0
5410052,5046689,4500,20060175,TE,good,1.0,0
5410053,5046719,2520,20080105,WR,failed,0.0,0
5410054,5048464,2510,20060401,TE,failed,0.0,0
5410055,5049413,4900,20040006,TE,failed,0.0,0
5410056,5049432,4900,20040015,WR,good,1.0,0
5410057,5052141,4900,20090643,TE,good,1.0,0
6410001,6000482,3800,20100516,WR,failed,0.0,0
6410002,6000491,3800,20100516,WR,failed,0.0,0
6410003,6000991,3800,20040003,WR,good,1.0,0
6410004,6001959,200,20070244,RB,failed,0.0,0
6410005,6002251,920,20010036,WR,failed,0.0,0
6410006,6002254,920,20010036,WR,failed,0.0,0
6410007,6002264,200,20050027,WR,good,1.0,0
6410008,6005195,810,20080044,RB,good,1.0,0
6410009,6005693,1540,20090020,TE,failed,0.0,0
6410010,6006015,610,20080224,WR,failed,0.0,0
6410011,6008471,810,20070093,RB,failed,1.0,0
6410012,6008635,810,20060233,WR,failed,0.0,0
6410013,6011417,920,20100021,TE,good,1.0,0
6410014,6013493,1050,20090050,WR,failed,0.0,1
6410015,6013494,1050,20040032,TE,failed,0.0,0
6410016,6014666,1200,20040007,WR,failed,0.0,1
6410017,6014667,1200,20030069,TE,good,1.0,0
6410018,6015312,5110,20040081,TE,good,1.0,0
6410019,6015326,5110,20040081,TE,failed,0.0,1
6410020,6015327,5110,19970484,FB,good,1.0,0
6410021,6016012,2310,20070023,WR,failed,0.0,0
6410022,6016037,2310,20070023,WR,failed,0.0,0
6410023,6017034,1400,20020033,WR,failed,0.0,0
6410024,6018388,1540,20070002,WR,good,1.0,0
6410025,6018712,5110,20080048,TE,failed,0.0,0
6410026,6018720,1540,20030071,WR,failed,0.0,0
6410027,6018722,5110,20080048,TE,failed,0.0,0
6410028,6018741,1540,20030017,WR,good,1.0,0
6410029,6018754,1540,20090020,TE,failed,0.0,0
6410030,6020700,2120,20070073,WR,good,1.0,0
6410031,6022264,2200,20100618,KR,good,1.0,0
6410032,6022596,1200,20040007,WR,good,1.0,0
6410033,6031638,3000,20090022,WR,good,1.0,0
6410034,6032295,2510,20100659,WR,failed,0.0,0
6410035,6033403,3300,20050068,WR,failed,0.0,0
6410036,6036659,3000,20030091,TE,failed,0.0,0
6410037,6036822,3430,20050003,WR,good,1.0,0
6410038,6038224,2520,20070099,WR,failed,0.0,0
6410039,6038381,4600,20040569,WR,good,1.0,0
6410040,6038738,4500,20100182,TE,good,1.0,0
6410041,6039557,3700,20070162,TE,good,1.0,1
6410042,6039558,3700,20090053,RB,failed,0.0,0
6410043,6040049,3700,20090719,RB,failed,0.0,0
6410044,6040394,3700,20060109,WR,good,1.0,0
6410045,6040712,3700,20060109,WR,failed,0.0,0
6410046,6042102,3200,20090083,WR,failed,0.0,0
6410047,6042123,3900,20100082,WR,failed,0.0,1
6410048,6044136,2100,20080024,RB,failed,0.0,0
6410049,6044487,4600,20080038,TE,failed,0.0,1
6410050,6044488,4600,20060249,WR,good,1.0,0
6410051,6045509,4400,20070172,WR,good,1.0,1
6410052,6045510,4400,20070172,WR,good,1.0,0
6410053,6046002,2100,20100222,WR,good,1.0,0
6410054,6046656,4500,20060006,TE,good,1.0,0
6410055,6047975,200,20050027,WR,good,1.0,0
6410056,6050437,4900,20100101,WR,failed,0.0,0
6410057,6050714,4600,20060249,WR,good,1.0,0
6410058,6051887,3300,20050068,WR,good,1.0,0
6410059,6052400,2100,20090030,WR,good,1.0,0
7410001,7000979,3800,20060155,TE,failed,0.0,0
7410002,7001831,325,20110674,FB,good,1.0,0
7410003,7002094,1800,20080091,TE,failed,0.0,0
7410004,7003088,4900,20040006,TE,good,1.0,0
7410005,7003105,4900,20100191,WR,failed,0.0,1
7410006,7005434,610,20070030,WR,failed,0.0,0
7410007,7005574,2250,20110608,RB,good,1.0,0
7410008,7005618,610,20080191,WR,good,1.0,0
7410009,7005796,610,20100643,TE,failed,0.0,0
7410010,7007265,750,20070031,TE,good,1.0,0
7410011,7008903,750,20070172,WR,failed,0.0,0
7410012,7013628,1200,20080111,TE,good,1.0,0
7410013,7015384,920,20080046,WR,failed,0.0,0
7410014,7016601,1400,20030124,WR,failed,0.0,0
7410015,7017113,750,20010074,WR,good,1.0,0
7410016,7017573,1540,20110044,WR,good,1.0,0
7410017,7018437,1540,20070002,WR,failed,0.0,0
7410018,7019099,1540,20060061,TE,good,1.0,0
7410019,7020287,4900,20040006,TE,failed,0.0,0
7410020,7020933,1050,20050576,WR,failed,0.0,0
7410021,7021682,2520,20110148,WR,failed,0.0,0
7410022,7022383,2200,20090127,WR,failed,0.0,0
7410023,7022748,1800,20110218,TE,good,1.0,0
7410024,7023852,2250,20090487,FB,failed,0.0,0
7410025,7026584,4400,20090596,RB,good,1.0,0
7410026,7027500,2700,20060119,WR,failed,0.0,0
7410027,7031735,3410,20110083,WR,good,1.0,0
7410028,7033429,3300,20050685,WR,good,1.0,0
7410029,7033450,3300,20050685,WR,good,1.0,0
7410030,7038960,2520,20080226,WR,failed,0.0,0
7410031,7039093,3300,20080237,WR,good,1.0,0
7410032,7040591,3410,19990105,WR,failed,0.0,1
7410033,7040763,3430,20110153,WR,failed,0.0,0
7410034,7044947,4600,20060249,WR,failed,0.0,0
7410035,7046765,3300,20050130,RB,good,1.0,0
7410036,7046893,4500,20090010,WR,good,1.0,0
7410037,7050053,4900,20100101,WR,failed,0.0,0
7410038,7050192,4900,20040006,TE,good,1.0,0
7410039,7050529,4900,20100101,WR,failed,0.0,0
7410040,7053013,5110,20010016,WR,failed,0.0,0
7410041,7054344,5110,20110079,WR,good,1.0,0
7410042,7054515,4900,20090717,WR,good,1.0,0
7410043,7054523,5110,20110155,WR,failed,0.0,0
8410001,8000819,2700,20090953,FB,good,1.0,0
8410002,8002367,200,20120406,WR,failed,0.0,0
8410003,8003591,4900,20100101,WR,failed,0.0,0
8410004,8004168,1200,20100024,WR,failed,0.0,0
8410005,8006919,2510,20120096,WR,good,1.0,0
8410006,8007376,200,20050027,WR,failed,0.0,0
8410007,8008895,4900,20050061,WR,good,1.0,0
8410008,8009049,810,20060119,WR,failed,0.0,0
8410009,8012108,3900,20050030,TE,good,1.0,0
8410010,8012335,325,20030054,WR,good,1.0,0
8410011,8013998,1200,20100024,WR,good,1.0,0
8410012,8014891,3700,20060109,WR,failed,0.0,0
8410013,8016758,3900,20060072,TE,failed,0.0,0
8410014,8016770,1400,20030023,RB,good,1.0,0
8410015,8017796,610,20100107,WR,good,1.0,0
8410016,8019993,2250,20120005,WR,failed,0.0,0
8410017,8020879,1800,20080036,WR,good,1.0,0
8410018,8023233,2200,20110483,WR,failed,0.0,0
8410019,8023555,2200,20010030,WR,failed,0.0,0
8410020,8023591,1800,20070078,WR,failed,0.0,0
8410021,8025218,2250,20090250,RB,good,1.0,0
8410022,8025243,2250,20080176,RB,failed,0.0,0
8410023,8025920,2250,20120573,TE,good,1.0,0
8410024,8028346,2700,20060053,TE,good,1.0,0
8410025,8029201,2510,20040024,RB,good,1.0,0
8410026,8030515,2250,20120005,WR,good,1.0,0
8410027,8031016,4900,20100101,WR,failed,0.0,0
8410028,8031377,3200,20100042,TE,failed,0.0,0
8410029,8032286,2120,20030003,WR,good,1.0,0
8410030,8037905,3430,20080030,TE,failed,0.0,0
8410031,8039030,2520,20110148,WR,failed,0.0,0
8410032,8040044,2520,20120625,WR,good,1.0,0
8410033,8040221,2520,20120168,WR,good,1.0,0
8410034,8042253,750,20120879,WR,failed,0.0,1
8410035,8042254,750,20120879,WR,failed,0.0,0
8410036,8044678,1800,20120562,WR,failed,0.0,0
8410037,8045601,1800,20070078,WR,failed,0.0,0
8410038,8047021,4500,19980021,WR,failed,0.0,0
8410039,8049403,2510,20080571,WR,good,1.0,0
8410040,8049732,2510,20120033,WR,failed,0.0,0
8410041,8050044,2510,20110047,TE,good,1.0,0
8410042,8051202,3700,20110149,RB,failed,0.0,0
8410043,8051817,4900,20100101,WR,failed,0.0,0
8410044,8052012,2100,20080126,WR,failed,0.0,0
8410045,8052182,2100,20090030,WR,good,1.0,0
8410046,8052344,1540,20030071,WR,good,1.0,0
8410047,8052899,2250,20100084,WR,failed,0.0,0
8410048,8054356,1200,20110176,WR,good,1.0,0
8410049,8054668,3000,20110043,TE,good,1.0,0
8410050,8055140,4600,20070038,TE,good,1.0,0
9410001,9000641,3800,20120013,WR,failed,0.0,0
9410002,9000958,2200,20090007,WR,good,1.0,0
9410003,9001310,3800,20120013,WR,failed,0.0,0
9410004,9003298,5110,20080205,WR,failed,0.0,0
9410005,9003428,325,20110518,WR,failed,0.0,0
9410006,9004475,3000,20060052,WR,failed,0.0,0
9410007,9004509,325,20110058,WR,good,1.0,0
9410008,9005016,3900,20100082,WR,failed,0.0,0
9410009,9005531,610,20130041,WR,good,1.0,0
9410010,9006444,3000,20120774,TE,failed,0.0,1
9410011,9008022,4600,20110628,WR,failed,0.0,0
9410012,9008937,1050,20120468,WR,failed,0.0,0
9410013,9009071,810,20060119,WR,good,1.0,0
9410014,9009279,810,20070155,TE,failed,0.0,1
9410015,9010177,325,20130835,WR,failed,0.0,1
9410016,9011843,2100,20110411,WR,failed,0.0,0
9410017,9012033,325,20130835,WR,good,1.0,0
9410018,9013442,1050,20080544,WR,good,1.0,0
9410019,9013607,2510,20110823,WR,failed,0.0,0
9410020,9013758,920,20110167,WR,good,1.0,0
9410021,9013908,1200,20130074,WR,good,1.0,0
9410022,9014129,1800,20100154,TE,failed,0.0,0
9410023,9014792,1200,20100024,WR,failed,0.0,0
9410024,9015123,1200,20100024,WR,failed,0.0,0
9410025,9015587,3800,20130187,RB,good,1.0,0
9410026,9015915,2250,20120005,WR,failed,0.0,0
9410027,9017129,1400,20040574,WR,good,1.0,0
9410028,9017347,2510,20120033,WR,failed,0.0,0
9410029,9017872,1540,20070002,WR,failed,0.0,0
9410030,9018041,810,20120045,WR,good,1.0,0
9410031,9018055,810,20060119,WR,good,1.0,0
9410032,9018912,3200,20130863,WR,failed,0.0,0
9410033,9019038,1540,20130510,TE,good,1.0,0
9410034,9019712,1800,20070078,WR,failed,0.0,0
9410035,9020243,1540,20110107,WR,failed,0.0,0
9410036,9020378,1800,20100154,TE,failed,0.0,0
9410037,9021270,5110,20130085,TE,failed,0.0,0
9410038,9021586,2200,20120546,WR,failed,0.0,0
9410039,9021613,2200,20120034,TE,good,1.0,0
9410040,9023521,1400,20100022,WR,failed,0.0,0
9410041,9024526,2200,20090007,WR,failed,0.0,0
9410042,9024553,2200,20010030,WR,good,1.0,0
9410043,9024693,2200,20120034,TE,good,1.0,0
9410044,9031109,3700,20100159,WR,failed,0.0,0
9410045,9031145,3700,20100159,WR,good,1.0,0
9410046,9031772,3200,20090232,WR,good,1.0,0
9410047,9031955,3200,20080571,WR,failed,0.0,1
9410048,9031956,3200,20090232,WR,good,1.0,0
9410049,9033328,3200,20130594,TE,good,1.0,0
9410050,9037174,610,20080224,WR,good,1.0,0
9410051,9038945,2520,20120818,WR,failed,0.0,0
9410052,9039424,2250,20110236,WR,failed,0.0,0
9410053,9040928,810,20080070,WR,good,1.0,0
9410054,9041204,1540,20100423,RB,good,1.0,0
9410055,9041254,1540,20130510,TE,failed,0.0,0
9410056,9041262,3700,20090053,RB,failed,0.0,0
9410057,9041276,3700,20130035,TE,failed,0.0,1
9410058,9041285,3700,20100159,WR,good,1.0,0
9410059,9041300,3700,20080049,WR,failed,0.0,0
